,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,geometry,latitude,longitude
488,1010032400,101,동화상가,1,,,5,11140,101,,,POINT (200639.4938000003 552056.6326000001),37.568047954860084,127.00723858512139
489,1010018900,101,"진양상가, 진양아파트",0,,,5,11140,101,,,POINT (199643.7829 551426.1978999991),37.56236791554194,126.9959681985503
490,1010035200,101,다산교(북단),0,,,5,11140,101,,,POINT (201402.1593000004 552275.0976),37.57001546981752,127.01587179797737
491,1010028700,101,서대문아트홀_일반국도6,0,,,5,11140,101,,,POINT (197092.0751 551866.7332000006),37.566332602826414,126.96708524938568
492,1010018000,101,임광빌딩,1,,,5,11140,101,,,POINT (197251.7182 551371.1810999997),37.56186818724745,126.96889410307166
493,1010025300,101,서대문아트홀_의주로_진,0,,,5,11140,101,,,POINT (197095.5747999996 551759.5833999999),37.56536719855334,126.96712528668499
494,1010031500,104,서대문고가차도(북측),0,,,5,11140,101,,,POINT (197202.3465 551998.8625000007),37.56752342358797,126.96833290527368
495,1010034100,101,모전교(남측),0,,,5,11140,101,,,POINT (198170.6900000004 552159.8891000003),37.56897669742748,126.97929334030128
496,1010033400,101,광교(남단),1,,,5,11140,101,,,POINT (198477.3735999996 552131.8346999995),37.56872448636709,126.9827648673769
497,1010032600,101,동화종합기계,1,,,5,11140,101,,,POINT (199327.3054 552075.9628999997),37.56822209639098,126.99238558926045
498,1010033500,101,남강빌딩,1,,,5,11140,101,,,POINT (199818.6550000003 552132.7210000008),37.56873371211113,126.99794729322764
499,1010034600,101,평화시장,0,,,5,11140,101,,,POINT (200181.2324000001 552216.1752000004),37.56948563076532,127.00205145283637
500,1010034900,101,버들다리(남측),1,,,5,11140,101,,,POINT (200585.8865 552221.3521999996),37.56953210685019,127.00663192270477
501,1010034700,101,오간수교(남단),1,,,5,11140,101,,,POINT (200860.6396000003 552232.1220999993),37.56962892748724,127.00974199386457
502,1010034200,103,광화문빌딩,0,,,5,11140,101,,,POINT (197893.3866999997 552172.8323999997),37.56909272370335,126.97615440122033
503,1010032800,101,정동사거리,1,,,5,11140,101,,,POINT (197275.5562000005 552088.0914999992),37.56832759232324,126.96916124621156
504,1010034500,101,삼원약국,1,,,5,11140,101,,,POINT (197859.7317000004 552212.3611999992),37.56944879883192,126.97577333148564
505,1010034400,101,덕수초교앞,1,,,5,11140,101,,,POINT (197732.8902000003 552209.5036999993),37.56942274952017,126.97433756392584
506,1010033700,101,광교(북단),1,,,5,11140,101,,,POINT (198478.6964999996 552166.5613000002),37.56903737367264,126.9827797697048
507,1010034300,101,모전교(북측),0,,,5,11140,101,,,POINT (198169.1874000002 552192.6655999999),37.56927200923107,126.97927624997794
508,1010032700,101,삼일교(북단),1,,,5,11140,101,,,POINT (198912.1388999997 552082.3870000001),37.568279580627944,126.9876861987616
509,1010034000,101,청계4가,1,,,5,11140,101,,,POINT (199816.5383000001 552165.7939999998),37.569031697963325,126.99792332529522
510,1010035000,101,청계5가,0,,,5,11140,101,,,POINT (200178.4541999996 552251.8939999994),37.56980745607836,127.002020013805
511,1010035100,101,오간수교(북단),0,,,5,11140,101,,,POINT (200856.0358999996 552266.8883999996),37.569942174553155,127.00968992294972
512,1010036300,101,메사,0,,,5,11140,101,TMP201410N10152,,POINT (198246.0954999998 551243.7587000001),37.56072254439141,126.98014907436304
513,1010035900,101,통일로_한강대로_진입,0,,,5,11140,101,TMP201410N10151,,POINT (197582.3404999999 550734.2261999995),37.55613016931196,126.97263828597211
514,1010036100,103,메트로타워,1,,,5,11140,101,TMP201410N10150,,POINT (197745.9139 550799.2065999992),37.55671605551877,126.97448931819437
515,1010036000,101,한강대로_퇴계로_진출,0,,,5,11140,101,TMP201410N10149,,POINT (197600.7467 550627.5387999993),37.555168966581114,126.97284694577884
516,1010035800,101,중앙일보,0,,,5,11140,101,TMP201410N10135,,POINT (197478.2958000004 551429.9013999999),37.56239790289401,126.97145837575606
517,1010035700,101,순화공원,0,,,5,11140,101,TMP201410N10113,,POINT (197408.2867000001 551249.3540000003),37.5607709827648,126.97066662353546
518,1010035600,101,철도빌딩,0,,,5,11140,101,TMP201410N10112,,POINT (197269.1014 550605.4820000008),37.55496931254519,126.96909370106225
519,1010036200,101,세종로파출소,0,,,5,11140,101,TMP201410N10043,,POINT (197965.4917000001 552164.6641000006),37.56901928972251,126.97697060916153
520,1020012400,101,한강대교북단,1,,,5,11170,102,,,POINT (196624.9491999997 546990.8377999999),37.52239923471395,126.96182027135018
521,1020021800,101,민영태크(주),0,,,5,11170,102,,,POINT (196170.2501999997 548182.7929999996),37.533136995627466,126.95667035056132
522,1020023600,101,한남2고가차도_남게천길,0,,,5,11170,102,,,POINT (200559.6814999999 548300.1261),37.53420194705229,127.00633230625515
523,1020024600,101,한남동주유소,0,,,5,11170,102,,,POINT (200558.4084000001 548398.5153000001),37.53508843532451,127.00631797702785
524,1020029600,101,한미연구소,1,,,5,11170,102,,,POINT (199721.6031999998 549045.2854999993),37.54091596384525,126.99684990147995
525,1020033200,101,장춘단길로터리,0,,,5,11170,102,,,POINT (200227.3832999999 549724.1771000009),37.54703278707207,127.00257308389104
526,1020033000,101,한남로로터리,0,,,5,11170,102,,,POINT (200278.6464999998 549719.8776999991),37.54699403545822,127.00315317989165
527,1020033400,101,다산로로터리,0,,,5,11170,102,,,POINT (200268.7923999997 549762.6071000006),37.547379029810585,127.00304168597016
528,1020032900,101,장춘단삼거리,0,,,5,11170,102,,,POINT (200230.6906000003 549705.9869999997),37.54686889364165,127.0026105037929
529,1020032700,101,한남로삼거리,0,,,5,11170,102,,,POINT (200260.2298999997 549693.8275000006),37.546759328809536,127.00294476734932
530,1020033300,101,다산로거리,1,,,5,11170,102,,,POINT (200364.3071999997 549782.5037999991),37.54755826606259,127.00412255239426
531,1020032400,101,한남로거리,0,,,5,11170,102,,,POINT (200228.8004999999 549634.9310999997),37.54622868116003,127.00258909320542
532,1020033600,101,장춘단길거리,0,,,5,11170,102,,,POINT (200167.8213999998 549834.3552000001),37.54802550325631,127.00189910282562
533,1020031700,101,남산3호터널_남산3호터,0,,,5,11170,102,,,POINT (198962.4283999996 549478.6373999994),37.5448199209281,126.98825912083487
534,1020031300,101,남산2호터널_남산3호터,0,,,5,11170,102,,,POINT (199061.3982999995 549382.2213000003),37.54395131856134,126.98937916063598
535,1020014400,101,한강중교앞교차로,1,,,5,11170,102,,,POINT (199279.4878000002 547372.2109999992),37.525841306256105,126.99184894501026
536,1020020600,101,원효로-용호로진입로2,0,,,5,11170,102,,,POINT (196158.0148999998 548098.1556000002),37.53237436105757,126.95653236343935
537,1020021100,101,원효로로-용호로진출로,0,,,5,11170,102,,,POINT (196126.1365999999 548133.4670000002),37.532692383784976,126.956171511108
538,1020024400,103,이태원지하차도2,1,,,5,11170,102,,,POINT (198880.3661000002 548340.9985000007),37.534569698083835,126.98733226031035
539,1020036600,101,서부역_만리재길_진출,0,,,5,11170,102,,,POINT (197192.3257999998 550631.3605000004),37.55520224656531,126.96822471248986
540,1020036300,101,서부역_청파로_진입,0,,,5,11170,102,,,POINT (197257.102 550605.5288999993),37.55496969948843,126.96895790053405
541,1020016600,101,장문고개서길-반포로진,1,,,5,11170,102,,,POINT (199238.2435999997 547772.2067000009),37.52944524194235,126.99138194047252
542,1020018000,101,찬우물길-반포로진입로,0,,,5,11170,102,,,POINT (199202.4907999998 547887.1623),37.53048096345111,126.99097732976918
543,1020018200,101,찬우물삼거리,0,,,5,11170,102,,,POINT (199240.2279000003 547893.0962000005),37.530534459822235,126.9914042646711
544,1020017500,108,강변북로-이촌동길램프(,0,,,5,11170,102,,,POINT (195789.5777000003 547833.1560999993),37.52998510496639,126.95236544059787
545,1020018400,101,이촌동길진입로,0,,,5,11170,102,,,POINT (195984.5774999997 547907.3454999998),37.5306544215694,126.95457116230729
546,1020018700,101,이촌동길진출로,0,,,5,11170,102,,,POINT (195961.9101999998 547919.0614999998),37.53075988393782,126.9543146494929
547,1020008000,104,이촌지하차도(동측),0,,,5,11170,102,,,POINT (198663.3765000002 546485.2509000003),37.51784908462507,126.98488057584589
548,1020007900,104,이촌지하차도(서측),0,,,5,11170,102,,,POINT (198390.5508000003 546482.7770000007),37.51782635933957,126.98179447114558
549,1020013500,104,이촌고가차도(남측),0,,,5,11170,102,,,POINT (196339.2231999999 547204.6322000008),37.524324438133846,126.958586977152
550,1020014200,104,이촌고가차도(북측),0,,,5,11170,102,,,POINT (196179.6791000003 547350.4178999998),37.525637323625965,126.95678135608972
551,1020007700,101,이촌동길거리1,0,,,5,11170,102,,,POINT (198492.2303999998 546482.0890999995),37.51782033301919,126.9829446367329
552,1020007800,103,이촌동길거리2,0,,,5,11170,102,,,POINT (198536.9053999996 546482.8695999999),37.517827437240726,126.98344998316163
553,1020023400,108,강변북로-일반국도46호,0,,,5,11170,102,,,POINT (195047.4913999997 548287.9078000002),37.53407873670799,126.94396679484939
554,1020025900,101,삼각지역_백범로_진입,0,,,5,11170,102,,,POINT (197637.0659999996 548496.4916999992),37.53596834609059,126.9732648398462
555,1020025100,101,삼각지역_한강로_진입_2,0,,,5,11170,102,,,POINT (197651.8949999996 548396.8797999993),37.535070880141966,126.97343293933105
556,1020035800,101,남산빌딩,0,,,5,11170,102,,,POINT (198127.8822999997 550500.6026000008),37.55402649554417,126.97881301753745
557,1020022400,101,농협(농산물백화점),1,,,5,11170,102,,,POINT (196817.7147000004 548215.4056000002),37.533433295923736,126.9639955975637
558,1020021000,101,원효전자상가,0,신용산지하차도(북측),,5,11170,102,,,POINT (196830.1501000002 548124.6533000004),37.532615659695466,126.96413668329681
559,1020000800,108,강변북로-원효로램프(4),0,,,5,11170,102,,,POINT (195082.4380999999 548335.8296000008),37.53451069928432,126.94436186456484
560,1020012600,101,이촌동길-대건로진입로2,1,,,5,11170,102,,,POINT (196510.6294 547009.2369999997),37.52256458683312,126.96052695962366
561,1020019100,101,삼구빌딩_이촌동길_진입,1,,,5,11170,102,,,POINT (196003.4463999998 547950.5888999999),37.5310441270143,126.9547844020156
562,1020019800,101,삼구빌딩_이촌동길_진입,0,,,5,11170,102,,,POINT (196019.9989 548002.0336000007),37.53150771585832,126.9549713924562
563,1020020200,101,삼구빌딩_용호로_진출_2,0,,,5,11170,102,,,POINT (196008.3245999999 548013.7594000008),37.53161331500255,126.9548392490623
564,1020017700,101,한남주차장_남계천길_진,1,,,5,11170,102,,,POINT (200607.0948999999 547846.6397999991),37.530116000059174,127.00686837267175
565,1020017900,101,한남주차장_한강진길_진,1,,,5,11170,102,,,POINT (200645.8179000001 547855.1534000002),37.53019268143264,127.00730647309982
566,1020030000,101,북한남삼거리_이태원로_,0,,,5,11170,102,,,POINT (200172.8805999998 549079.1386999991),37.541221006938024,127.00195617600832
567,1020016100,101,한남역_두무개길_진출,0,,,5,11170,102,,,POINT (200662.7855000002 547721.9653999992),37.52899264339937,127.00749831623608
568,1020016200,101,한남역_남계천길_진입,0,,,5,11170,102,,,POINT (200615.4249999998 547749.5173000004),37.529240919280674,127.0069625339799
569,1020018500,101,한남주차장_남계천길_진,0,,,5,11170,102,,,POINT (200568.8925999999 547908.4936999995),37.53067332895347,127.00643621855606
570,1020018600,101,한남주차장_남계천길_진,0,,,5,11170,102,,,POINT (200598.4576000003 547911.4900000002),37.53070030695659,127.00677070733074
571,1020024800,101,녹사평역_이태원로_진입,0,,,5,11170,102,,,POINT (198694.9857999999 548389.0410999991),37.535002318671914,126.98523474891091
