Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,WORKSTATE,DEPT_CODE,STNL_REG,geometry,latitude,longitude
1000015600,101,율곡로-충효길진출로,0,,5,11110,100,POINT (200566.0223000003 552727.0289999992),37.57408824,127.0064075
1000014700,101,아람보습학원,1,,5,11110,100,POINT (201546.7335000001 552662.2098999992),37.5735031,127.0175091
1000028000,101,북악팔각정후문,0,,5,11110,100,POINT (198348.3159999996 555798.5993000008),37.60176156,126.9812958
1000027800,101,북악팔각정,0,,5,11110,100,POINT (198236.5558000002 555746.5292000007),37.6012922,126.9800303
1000020800,101,파크맨션아파트,0,,5,11110,100,POINT (197270.0758999996 552971.7747000009),37.57628952,126.9690959
1000014300,101,대광빌딩,1,,5,11110,100,POINT (200645.5999999996 552629.2774999999),37.57320745,127.0073082
1000010600,101,박시우치과의원,0,,5,11110,100,POINT (197523.6261999998 552344.3432),37.57063711,126.9719684
1000016500,101,인왕빌딩,1,,5,11110,100,POINT (197385.8520999998 552802.1843999997),37.57476185,126.9704072
1000016300,101,사직주유소,0,,5,11110,100,POINT (197108.1138000004 552768.8454999998),37.57446064,126.9672632
1000015200,101,광화문풍림스페이스본,0,,5,11110,100,POINT (197145.8216000004 552718.0467000008),37.57400307,126.9676903
1000014800,101,축구회관,0,,5,11110,100,POINT (197218.0530000003 552662.1666000001),37.57349981,126.9685082
1000010000,101,종묘공원,1,,5,11110,100,POINT (199450.5016999999 552329.4846000001),37.5705064,126.9937799
1000007200,101,종로1가_남대문로_진입,0,,5,11110,100,POINT (198479.9239999996 552231.2003000006),37.56961977,126.9827935
1000019000,101,전교가르멜수녀원영성,0,,5,11110,100,POINT (196961.2028999999 552914.5694999993),37.57577313,126.9655996
1000029800,101,하비에르 국제학교,0,,5,11110,100,POINT (196157.1856000004 556804.8217999991),37.61082098,126.9564774
1000030200,101,구기동3차현대빌라,0,,5,11110,100,POINT (196150.0417999998 556896.8969999999),37.61165053,126.956396
1000025800,101,삼청우체국,0,,5,11110,100,POINT (198700.1558999997 554094.0944999997),37.58640468,126.9852831
1000027400,101,송암교앞거리,1,,5,11110,100,POINT (196255.9976000004 555566.9013999999),37.59966785,126.9576028
1000025900,101,명륜파출소,0,,5,11110,100,POINT (199704.6851000004 554244.9581000004),37.58776482,126.9966564
1000025700,101,경복고등학교,0,,5,11110,100,POINT (197352.4562999997 554038.9912999999),37.58590531,126.9700247
1000026200,101,르느와르5,0,,5,11110,100,POINT (199768.4497999996 554415.2178000007),37.58929886,126.9973783
1000030500,101,이북5도청,0,,5,11110,100,POINT (196102.4166999999 557080.6504999995),37.61330593,126.9558556
1000028800,101,명성화물,1,,5,11110,100,POINT (196372.8433999997 556379.3268999998),37.60698819,126.9589219
1000028100,101,신영삼거리_세검정길_진,0,,5,11110,100,POINT (196593.8755000001 555931.6391000003),37.60295541,126.9614272
1000009100,101,종각지하쇼핑센터,1,,5,11110,100,POINT (198741.4168999996 552296.4115999993),37.57020772,126.9857534
1000014000,101,이대병원후문,1,,5,11110,100,POINT (200659.0937999999 552610.2274999991),37.57303581,127.0074609
1000016400,101,원광빌딩,1,,5,11110,100,POINT (199202.5383000001 552768.4057999998),37.57446087,126.9909726
1000006200,101,북악산길,0,,5,11110,100,POINT (197046.0285 554842.9625000004),37.5931481,126.9665521
1000016600,101,사직삼거리,1,,5,11110,100,POINT (197155.4082000004 552804.2335999999),37.57477963,126.9677985
1000015300,101,종교교회,0,,5,11110,100,POINT (197653.6692000004 552725.4761999995),37.57407144,126.9734392
1000024400,101,청운동사무소,1,,5,11110,100,POINT (197382.3542999998 553812.2430000007),37.58386241,126.970364
1000006100,101,자하문터널(북측),0,,5,11110,100,POINT (196861.9314999999 554806.0472999997),37.59281489,126.9644677
1000006300,101,세검정,1,,5,11110,100,POINT (196285.9740000004 555603.8116999995),37.60000053,126.9579421
1000028200,101,신영삼거리,1,,5,11110,100,POINT (196630.4157999996 555993.9605),37.60351706,126.9618408
1000005500,101,청운초등교앞,0,,5,11110,100,POINT (197365.4209000003 553947.7098999992),37.58508291,126.9701718
1000006000,101,자하문,0,,5,11110,100,POINT (196982.1051000003 554773.7473000009),37.59252427,126.9658285
1000015500,101,정부중앙청사별관,1,,5,11110,100,POINT (197744.8976999996 552729.2862),37.57410599,126.9744719
1000002500,101,종로구청,0,,5,11110,100,POINT (198166.2518999996 552547.5326000005),37.57246934,126.9792421
1000002700,101,허리우드극장,1,,5,11110,100,POINT (198922.8466999996 552564.1867999993),37.57262059,126.9878067
1000016100,101,정부합동민원실,0,,5,11110,100,POINT (198101.6934000002 552763.4330000002),37.57441446,126.9785108
1000026400,101,혜화초교,0,,5,11110,100,POINT (199926.3411999997 554472.6991000008),37.58981679,126.999166
1000013300,101,초동교회,0,,5,11110,100,POINT (199251.9360999996 552562.4405000005),37.57260518,126.991532
1000004800,104,동망봉터널(남측),0,,5,11110,100,POINT (201346.0411 553404.3680000007),37.58019022,127.0152386
1000009800,101,종로3가,1,,5,11110,100,POINT (199305.5097000003 552319.9595999997),37.57042048,126.9921386
1000023000,101,금산갤러리,1,,5,11110,100,POINT (198252.0415000003 553496.0653000008),37.58101573,126.980211
1000019700,101,경복궁,1,,5,11110,100,POINT (198182.0597000001 552923.2302000001),37.57585439,126.9794201
1000019800,101,경복궁역,1,,5,11110,100,POINT (197582.7772000004 552928.7863999996),37.57590307,126.972636
1000003600,101,광화문,0,,5,11110,100,POINT (197955.0466999998 552892.0092999991),37.57557261,126.9768503
1000009000,101,세종로사거리,1,,5,11110,100,POINT (197970.6841000002 552293.0250000004),37.57017583,126.977029
1000019600,101,원남동사거리,1,,5,11110,100,POINT (199765.8586999997 552929.5801999997),37.57591336,126.9973494
1000019300,101,정부중앙청사,1,,5,11110,100,POINT (197732.5317000002 552912.6468000002),37.57575803,126.9743313
1000012400,101,조계사앞,1,,5,11110,100,POINT (198501.5126999998 552498.6838000007),37.57202982,126.9830374
1000008700,101,종로1가,1,,5,11110,100,POINT (198496.0417999998 552298.5283000004),37.57022642,126.9829758
1000008500,101,종로2가,1,,5,11110,100,POINT (198912.0734999999 552296.1470999997),37.57020555,126.9876851
1000011000,101,종로4가,1,,5,11110,100,POINT (199802.9274000004 552355.6784000006),37.57074254,126.9977692
1000008600,101,종로구청입구,1,,5,11110,100,POINT (198172.6145000001 552295.9882999994),37.57020295,126.9793148
1000021400,101,창덕궁,1,,5,11110,100,POINT (199125.8302999996 553098.6492999997),37.57743628,126.9901038
1000001600,101,센츄랄관광호텔,1,,5,11110,100,POINT (199324.3420000002 552108.7712999992),37.5685177,126.992352
1000017900,101,안국동사거리,1,,5,11110,100,POINT (198498.7665999997 552895.9780000001),37.57560941,126.9830055
1000021200,101,안국역,1,,5,11110,100,POINT (198779.2254999997 553034.6199999992),37.57685899,126.9861801
1000021900,101,재동초등교,0,,5,11110,100,POINT (198676.9430999998 553297.7895999998),37.57922999,126.9850218
1000005200,101,영빈관앞,0,,5,11110,100,POINT (197675.5264999997 553783.3570000008),37.58360294,126.9736832
1000005800,101,금융연수원,0,,5,11110,100,POINT (198383.2285000002 554158.4279999994),37.58698381,126.9816947
1000014100,101,동묘앞역,1,,5,11110,100,POINT (201381.1249000002 552608.8702000007),37.57302278,127.0156343
1000020700,101,이화사거리,1,,5,11110,100,POINT (200195.2783000004 552957.8906999994),37.57616845,127.0022106
1000011200,101,종로5가,1,,5,11110,100,POINT (200170.1036 552384.3968000002),37.5710013,127.0019255
1000024000,101,성균관대입구,1,,5,11110,100,POINT (199889.6261999998 553717.9635000005),37.58301667,126.9987504
1000011700,101,동대문로터리,1,,5,11110,100,POINT (200799.9441 552422.8894999996),37.57134779,127.0090552
1000005700,101,아트빌,1,,5,11110,100,POINT (197599.5379999997 554091.7559999991),37.58638139,126.9728219
1000004600,101,아트선재센타,1,,5,11110,100,POINT (198431.0124000004 553334.3551000003),37.57955905,126.9822375
1000003000,101,서울지방국세청,0,,5,11110,100,POINT (198173.2368999999 552756.4480000008),37.57435167,126.9793207
1000008300,101,고려빌딩,1,,5,11110,100,POINT (197790.3437999999 552291.1199999992),37.57015825,126.9749877
1000024200,101,상겔러리,1,,5,11110,100,POINT (198168.1683999998 553768.3221000005),37.58346858,126.9792608
1000005400,101,삼청동사무소입구,0,,5,11110,100,POINT (198397.0398000004 553812.0348000005),37.58386286,126.9818519
1000008200,101,구세군회관,1,,5,11110,100,POINT (197579.1661999999 552292.4825999998),37.57016999,126.9725972
1000008800,101,광화문우체국,1,,5,11110,100,POINT (198101.4504000004 552295.2418000009),37.57019608,126.9785092
1000024600,101,로마교황청대사관,0,,5,11110,100,POINT (197595.3046000004 553896.1755999997),37.58461922,126.9727746
1000015000,101,조향빌딩,1,,5,11110,100,POINT (200528.5083999997 552668.6608000007),37.57356237,127.0059828
1000013900,101,인사동네거리,1,,5,11110,100,POINT (198784.4057999998 552608.2215),37.57301717,126.9862395
1000013400,101,하나로빌딩,1,,5,11110,100,POINT (198809.4883000003 552566.1525999997),37.57263816,126.9865235
1000011900,101,세종아파트앞,0,,5,11110,100,POINT (197588.6874000002 552456.659),37.57164924,126.9727045
1000004700,101,청룡사앞,0,,5,11110,100,POINT (201527.0003000004 553416.6122999992),37.58030026,127.0172873
